epoch,iteration,discriminator_loss,generator_loss
0,100,0.671,0.882
0,200,0.696,0.725
0,300,0.623,0.804
0,400,0.627,0.817
0,500,0.544,0.894
0,600,0.525,0.883
0,700,0.471,1.139
0,800,0.508,0.868
0,900,0.521,0.874
0,938,0.530,1.043
1,100,0.457,1.129
1,200,0.434,1.278
1,300,0.341,1.526
1,400,0.445,1.231
1,500,0.460,1.553
1,600,0.404,1.558
1,700,0.414,1.383
1,800,0.459,1.532
1,900,0.513,1.473
1,938,0.399,1.324
2,100,0.517,1.087
2,200,0.568,0.967
2,300,0.689,1.253
2,400,0.457,1.596
2,500,0.671,1.720
2,600,0.516,1.194
2,700,0.455,1.768
2,800,0.482,1.263
2,900,0.523,1.015
2,938,0.524,1.007
3,100,0.545,1.229
3,200,0.602,0.937
3,300,0.500,1.359
3,400,0.527,1.262
3,500,0.510,1.155
3,600,0.543,1.001
3,700,0.549,1.291
3,800,0.538,1.207
3,900,0.527,1.309
3,938,0.450,1.459
4,100,0.568,1.119
4,200,0.512,1.266
4,300,0.560,1.430
4,400,0.530,1.447
4,500,0.643,0.871
4,600,0.500,1.166
4,700,0.548,0.922
4,800,0.620,1.021
4,900,0.614,0.732
4,938,0.595,0.846
5,100,0.575,1.118
5,200,0.583,1.645
5,300,0.559,1.041
5,400,0.584,1.160
5,500,0.572,1.034
5,600,0.641,0.606
5,700,0.602,1.046
5,800,0.600,1.084
5,900,0.638,1.156
5,938,0.629,1.207
6,100,0.669,1.011
6,200,0.585,1.243
6,300,0.576,0.975
6,400,0.590,1.070
6,500,0.677,0.783
6,600,0.609,0.696
6,700,0.586,0.781
6,800,0.636,0.909
6,900,0.602,1.095
6,938,0.507,1.405
7,100,0.641,0.717
7,200,0.572,0.845
7,300,0.584,0.818
7,400,0.602,1.072
7,500,0.642,0.792
7,600,0.660,0.577
7,700,0.645,0.643
7,800,0.663,1.031
7,900,0.566,1.068
7,938,0.692,0.757
8,100,0.631,0.823
8,200,0.577,0.937
8,300,0.622,0.773
8,400,0.592,0.767
8,500,0.596,1.037
8,600,0.597,0.890
8,700,0.563,1.135
8,800,0.549,0.896
8,900,0.574,0.951
8,938,0.581,0.906
9,100,0.741,0.538
9,200,0.597,0.733
9,300,0.594,0.817
9,400,0.626,0.747
9,500,0.722,1.358
9,600,0.692,0.710
9,700,0.671,0.980
9,800,0.652,0.888
9,900,0.548,1.175
9,938,0.652,1.178
10,100,0.677,0.981
10,200,0.605,0.892
10,300,0.576,0.941
10,400,0.659,0.820
10,500,0.678,0.979
10,600,0.603,1.080
10,700,0.669,1.090
10,800,0.639,0.757
10,900,0.679,0.804
10,938,0.608,1.186
11,100,0.647,0.746
11,200,0.688,0.791
11,300,0.649,0.776
11,400,0.656,1.232
11,500,0.602,0.805
11,600,0.638,0.842
11,700,0.632,0.885
11,800,0.659,0.827
11,900,0.652,0.954
11,938,0.708,0.888
12,100,0.592,0.836
12,200,0.673,0.888
12,300,0.644,0.944
12,400,0.701,0.934
12,500,0.682,0.852
12,600,0.630,0.905
12,700,0.572,1.043
12,800,0.640,0.975
12,900,0.666,0.928
12,938,0.640,0.862
13,100,0.654,0.987
13,200,0.648,1.014
13,300,0.658,1.078
13,400,0.673,0.935
13,500,0.627,0.869
13,600,0.662,0.801
13,700,0.594,0.709
13,800,0.694,0.582
13,900,0.622,0.865
13,938,0.636,0.657
14,100,0.633,0.701
14,200,0.631,0.986
14,300,0.652,0.682
14,400,0.601,0.867
14,500,0.695,0.682
14,600,0.617,0.868
14,700,0.701,0.743
14,800,0.672,0.771
14,900,0.642,0.863
14,938,0.681,0.851
15,100,0.675,0.995
15,200,0.669,0.654
15,300,0.649,0.761
15,400,0.649,0.848
15,500,0.668,0.885
15,600,0.652,0.789
15,700,0.692,1.172
15,800,0.644,0.881
15,900,0.649,0.818
15,938,0.662,0.848
16,100,0.635,0.724
16,200,0.645,0.829
16,300,0.654,0.955
16,400,0.686,0.725
16,500,0.654,0.762
16,600,0.634,0.991
16,700,0.689,0.693
16,800,0.649,0.766
16,900,0.671,0.907
16,938,0.682,0.730
17,100,0.675,0.913
17,200,0.681,0.782
17,300,0.665,1.013
17,400,0.636,0.875
17,500,0.699,1.128
17,600,0.650,0.874
17,700,0.722,1.096
17,800,0.642,1.090
17,900,0.671,0.951
17,938,0.625,0.964
18,100,0.699,0.845
18,200,0.668,0.656
18,300,0.640,0.968
18,400,0.635,0.851
18,500,0.662,0.785
18,600,0.675,1.068
18,700,0.669,1.063
18,800,0.658,0.934
18,900,0.644,1.048
18,938,0.634,0.818
19,100,0.693,0.878
19,200,0.641,0.910
19,300,0.661,0.897
19,400,0.734,0.989
19,500,0.659,0.683
19,600,0.658,0.901
19,700,0.684,0.804
19,800,0.637,0.845
19,900,0.665,0.833
19,938,0.696,0.583
20,100,0.699,0.970
20,200,0.645,0.796
20,300,0.690,0.690
20,400,0.667,0.805
20,500,0.625,0.779
20,600,0.676,0.925
20,700,0.651,0.697
20,800,0.658,0.908
20,900,0.642,0.754
20,938,0.698,0.868
21,100,0.691,1.092
21,200,0.702,0.987
21,300,0.683,0.642
21,400,0.635,0.795
21,500,0.654,0.707
21,600,0.685,0.616
21,700,0.666,0.627
21,800,0.648,0.645
21,900,0.673,1.007
21,938,0.753,1.360
22,100,0.686,0.886
22,200,0.701,0.904
22,300,0.692,0.840
22,400,0.665,0.860
22,500,0.678,0.963
22,600,0.676,0.824
22,700,0.688,0.793
22,800,0.666,0.591
22,900,0.660,0.860
22,938,0.668,0.927
23,100,0.634,0.895
23,200,0.688,0.613
23,300,0.656,0.859
23,400,0.679,0.625
23,500,0.657,0.972
23,600,0.649,0.652
23,700,0.630,0.845
23,800,0.665,0.762
23,900,0.646,0.831
23,938,0.635,0.667
24,100,0.674,0.802
24,200,0.640,0.859
24,300,0.679,0.876
24,400,0.683,0.793
24,500,0.660,0.844
24,600,0.672,0.678
24,700,0.668,0.942
24,800,0.673,0.815
24,900,0.626,0.876
24,938,0.706,0.822
25,100,0.644,0.751
25,200,0.641,0.776
25,300,0.680,0.998
25,400,0.706,0.534
25,500,0.654,0.803
25,600,0.703,0.980
25,700,0.666,0.897
25,800,0.659,0.815
25,900,0.666,1.021
25,938,0.681,0.622
26,100,0.658,0.661
26,200,0.636,0.693
26,300,0.661,0.744
26,400,0.658,0.812
26,500,0.679,0.881
26,600,0.679,0.682
26,700,0.687,1.047
26,800,0.674,0.709
26,900,0.657,0.703
26,938,0.665,0.868
27,100,0.692,0.833
27,200,0.668,0.690
27,300,0.691,0.854
27,400,0.660,0.999
27,500,0.654,0.708
27,600,0.676,0.740
27,700,0.684,0.953
27,800,0.710,0.945
27,900,0.666,0.739
27,938,0.665,0.777
28,100,0.640,0.807
28,200,0.649,0.754
28,300,0.651,0.766
28,400,0.662,0.770
28,500,0.688,0.674
28,600,0.666,0.809
28,700,0.683,0.756
28,800,0.650,0.694
28,900,0.652,0.697
28,938,0.717,0.873
29,100,0.665,0.759
29,200,0.679,0.941
29,300,0.639,0.759
29,400,0.728,1.146
29,500,0.690,0.837
29,600,0.687,0.936
29,700,0.645,0.900
29,800,0.651,0.921
29,900,0.697,0.549
29,938,0.717,0.552
